Operation,Iterations,Time,AverageTime
test,1,0.007040,0.007040
test,1,0.007134,0.007134
test,1,0.007069,0.007069
test,1,0.007089,0.007089
test,1,0.007076,0.007076
test,1,0.006975,0.006975
test,1,0.007119,0.007119
test,1,0.006838,0.006838
test,1,0.007172,0.007172
test,1,0.006913,0.006913
