Operation,Time, Argument1, Argument2, Argument3
readPOSIX,0.000167,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000177,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000172,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000170,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000176,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000167,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000172,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000170,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000175,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000204,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000209,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000202,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000185,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000255,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
readPOSIX,0.000218,/mnt/Benchfiles/Data/NetCDF/ECMWF_ERA-40_subset.nc,None,None
