Operation,Time
uploadS3,21.172338
uploadS3,2.260025
uploadS3,2.730685
uploadS3,1.094966
uploadS3,0.089671
uploadS3,1.403679
uploadS3,1.065651
uploadS3,1.025632
uploadS3,0.983591
